# Списъкът съдържа стойности разделени със запетая
# Всеки канал се въвежда на отделен ред със следните стойности: 
#   Име на канала както е въведен в плейлистата напр. BNT1 HD
#   Идентификатор на канала според ЕПС на epg.kodibg.org напр. BNT1
#   Категория на канала напр. Национални
#   УРЛ към логото на канала
# Ако липсва дадена стойност, на нейно място не се въвежда нищо, но запетаята е задължителна. 
# Следния пример показва, че имам въведена само категория за даден канал - лиспва ID и лого. 
# HBO HD,,Филми,
# За да изключите даден канал, започнете реда с табулация, интервал, или #
# Плейлистата следва реда в този списък, така че ако искате даден канал да се появява по-напред, предвижете неговия ред по-нагоре.

  FOX HD,,,
  History Channel,,,
  Animal Planet,,,
  Discovery Science,,,
  Discovery World,,,
	National Geographic,,,
	NatGeo Wild,,,
	History HD,,,
	Travel Channel HD,,,
	Travel Channel,,,
	Travel HD,,,
	Travel TV,,,
	TVT Tourism,,,
	DocuBox HD,,,
	Wild TV HD,,,
	DTX,,,
	C&I Networks,,,
	Дестинация BG,,,
	Hobby TV,,,
	Hobby HD,,,
	OutDoor HD,,,
	BG Лов,,,
	Animal Planet HD,,,
	Discovery Science HD,,,
	History 2 HD,,,
	Food Network,,,
	Food Network HD,,,
	Da Vinci Learning,,,
	The World,,,
	Chasse & Peche,,,
	24 Техно,,,
	Wness HD,,,
	Spark,,,
	ID Xtra,,,
	24 Kitchen HD,,,
	Fine Living,,,
	24 Kitchen,,,
	Fiesta,,,
	bTV Lady,,,
	TLC,,,
	CBS Drama,,,
	CBS Reality,,,
	Comedy Central,,,
	English Club,,,
	HBO 3,,,
	Movie Star,,,
	HBO,,,
	HBO 2,,,
	Cinemax,,,
	Cinemax 2,,,
	Первый канал (EUR),,,
	Первый канал HD (RU),,,
	CTC Инт.,,,
	TVCI Центр,,,
	ТНТ,,,
	RTVi,,,
	Живи,,,
	Охота и рыбалка,,,
	Звезда +2,,,
	Россия HD,,,
	TV RUS,,,
	НТВ HD,,,
	Россия 24,,,
	НТВ Мир,,,
	Наше кино,,,
	РТР Планета,,,
	Дом кино,,,
	Время,,,
	Перец,,,
	Телекафе,,,
	Eurosport,,,
	Eurosport 2,,,
	Nova Sport,,,
	Eurosport HD,,,
	Eurosport 2 HD,,,
	RING BG,,,
	Diema Sport,,,
	Eurosport News,,,
	Sky Sport HD 1,,,
	Sky Sport HD 2,,,
	Sky Sport Austria,,,
	Sportal HD,,,
	Nova Sport HD,,,
	BT Sports 1 *,,,
	BT Sports 2 *,,,
	Sky Sports F1,,,
	Sky Sports 3,,,
	Sky Sports 4,,,
	Sky Sports 5,,,
	RAI Sport 1,,,
	RAI Sport 2,,,
	Supper Tennis HD,,,
	Deutsche Welle,,,
	CNN International,,,
	Euronews,,,
	Bloomberg,,,
	Sky News,,,
	BBC Worldnews,,,
	CNBC,,,
	France 24,,,
	France 4 HD,,,
	TV5 Monde,,,
	Al Jazeera Eng,,,
	France 2,,,
	France 3 HD,,,
Russia Today,,Новини,
	France 2 HD,,,
	CCTV 4,,,
	CCTV News,,,
RT News HD,,Новини,
RT Docu HD,,Новини,
CNN International HD,,Новини,
	NHK World HD,,,
	NHK World,,,
	CCTV 9 Documentary,,,
BBC World HD,,Новини,
	FOX Life HD,,,
FOX Crime HD,FOXCrime,Филми,http://logos.kodibg.org/foxcrime.png
	ID Xtra HD,,,
	Discovery Turbo HD,,,
	Auto Motor Sport,,,
	Auto Motor Sport HD,,,
	Sky Sport HD 3,,,
	Sky Sport HD 4,,,
	Sky Sport HD 5,,,
	Sky Sport HD 6,,,
	Sky Bundesliga 1 HD,,,
	Sport1+ HD,,,
Eurosport DE HD,,Спортни,
	Diema Sport 2,,,
	Arena Sport 1 (SRB),,,
	Arena Sport 2 (SRB),,,
	Arena Sport 3 (SRB),,,
	Arena Sport 4 (SRB),,,
	Arena Sport 5 (SRB),,,
	Fight World HD,,,
	FightBox HD,,,
	Fast and Fun HD,,,
	Trace Sport Stars HD,,,
	PO TV,,,
	Черно море,,,
	VTV,,,
	BG DNES,,,
	Bulgaria 24,,,
	Varna TV,,,
	Канал 4,,,
	Bloomberg BG,,,
	Стойчев,,,
	КИС 13,,,
	БНП ТВ,,,
	Agro TV,,,
	Alfa TV,,,
	TV1,,,
	100% Auto Moto TV,,,
	ВТК,,,
	Евроком,,,
	БХ ТВ,,,
	ПП ТВ,,,
	Канал 0,,,
BG DNES HD,,,
	Еврошанс,,,
	TV1 HD,,,
	Fishing & Hunting,,,
	BG Info,,,
	HMTV HD,,,
	Travel HD в SD,,,
	M1,,,
	M2,,,
	Music Box (Укр),,,
	Джус ТВ,,,
	Первый Инт. канал (тест),,,
	Vevo HD,,,
	Djazz HD,,,
	Brava HD,,,
	MTV Dance,,,
	Classica HD,,,
	Tiankov Music,,,
	Fen Folk,,,
	Hit Mix Channel,,,
	Фолклор HD,,,
	Balkanika HD,,,
	BG Music HD,,,
	FEN HD,,,
	Roma TV,,,
	Roma TV HD,,,
	iConcerts HD,,,
	MTV Live HD,,,
	MTV,,,
	MTV Rocks,,,
	VH1,,,
	VH1 Classic,,,
	Mezzo,,,
	Mezzo Live HD,,,
	MTV Hits,,,
	Fashion TV,,,
	Fashion HD,,,
	Smash Hits,,,
	F.O. HD,,,
	Body and Balance,,,
	World Fashion HD,,,
	F.O. TV,,,
	Deluxe Lounge HD,,,
	Luxe HD,,,
	BG Music,,,
	The Voice,,,
	City TV,,,
	359TV HD,,,
	Родина ТВ,,,
	BOX,,,
	BOX HD,,,
	Kiss TV,,,
	Juce TV,,,
	Deluxe Music,,,
	Deluxe Music HD,,,
	Magic TV,,,
	Планета,,,
	Планета HD,,,
	Планета Фолк,,,
	FEN TV,,,
	Balkanika,,,
	DSTV,,,
	Фолклор ТВ,,,
	Тянков HD,,,
	Тянков Мюзик HD,,,
	Тянков ТВ,,,
	Salsa+,,,
	DM Sat,,,
	BN Music,,,
	Shanson,,,
	Музыка,,,
	Music Box Russia,,,
	RCK,,,
	Jukebox,,,
	KCN Music 2,,,
	Disney Channel,,,
	Super 7,,,
	Cartoon Network / TCM,,,
	Boomerang,,,
	Fix and Foxi,,,
	eKids,,,
	Nickelodeon,,,
	Nickelodeon HD,,,
	Nick Jr.,,,
	KiKa HD,,,
	Baby TV,,,
	Duck TV,,,
	Duck HD,,,
	Jim Jam,,,
	Smile Of A Child,,,
	Disney Jr.,,,
	Карусель,,,
	Детский мир / Телеклуб,,,
	Тест: Disney RU,,,
	RiC,,,
	Disney Cinemagic HD,,,
	Veronica / Disney (NL),,,
	Pink Kids,,,
	Disney TR,,,
	Cartoon TR,,,
	TRT Cocuk,,,
	Planet Cocuk,,,
	ERT,,,
	Armenia,,,
	Armenia 1,,,
	RT Spanish HD,,,
	Polonia,,,
	TVR International,,,
	RTP International,,,
	RTVE,,,
	TVE,,,
	Slovenija 2 TV,,,
	RAI News,,,
	RAI 1,,,
	RAI 2,,,
	RAI 3,,,
	RAI Scuola,,,
	RAI 1 HD,,,
	RAI 2 HD,,,
	RAI 3 HD,,,
	RAI Sport 1 HD,,,
	ORF1,,,
	ORF2,,,
	Tagesschau 24,,,
	Tagesschau 24 HD,,,
	Sat.1 Gold,,,
	ORF1 HD,,,
	ORF2 HD,,,
	RTL HD,,,
	RTL 2 HD,,,
	RTL,,,
	RTL Nitro,,,
	SAT1,,,
	PRO7,,,
	Kabel1,,,
	VOX,,,
	Super RTL ,,,
	3sat HD,,,
	Anixe HD,,,
	N24,,,
	3sat,,,
	WDR,,,
	Arte HD,,,
	ARD / Das Erste HD,,,
	ZDF HD,,,
	Servus HD,,,
	ZDF,,,
	N-TV,,,
	Eins Festival,,,
	RTL 2,,,
	WDR HD,,,
	Arte DE,,,
	ZDF Info HD,,,
	ZDF Neo HD,,,
	ZDF Kultur HD,,,
	Phoenix,,,
Discovery DE HD,,,http://logos.kodibg.org/discovery.png
Nat Geo HD DE,,,http://logos.kodibg.org/natgeo.png
Natgeo Wild EU HD,,,http://logos.kodibg.org/natgeowild.png
	N-TV HD,,,
	Sky Hits HD,,,
	Sky Action HD,,,
	Sky Atlantic HD,,,
	Sky Cinema HD,,,
	13th Street HD,,,
	TNT Film,,,
	TNT Serie HD,,,
	SyFy HD,,,
	MGM HD,,,
	Eins Festival HD ,,,
	Eins Plus HD ,,,
	SR Fernsehen HD,,,
	Матч! Футбол 1 HD,,,
	Матч! Футбол 2 HD,,,
	Матч! Футбол 3 HD,,,
	Наш Футбол HD,,,
Матч! ТВ HD,,Спортни,http://logos.kodibg.org/matchtv.png
	Конный Мир HD,,,
	Viasat Sport HD,,,
	Тест: Первый канал  (RU),,,
	Тест: Наш Футбол,,,
	Русский Экстрим,,,
	Мир ТВ,,,
	ТБН Россия,,,
	Наука 2.0,,,
	Россия 1,,,
	Russian Travel Guide,,,
  Матч ТВ,,Спортни,http://logos.kodibg.org/matchtv.png
	Ю,,,
	Телеканал 2x2,,,
	Наука,,,
	Еврокино,,,
	Моя Планета,,,
	НТВ,,,
	РЕН ТВ,,,
	FOX RU HD,,,
	TV1000 Комеди HD,,,
	TV1000 Мегахит HD,,,
	TV1000 Премиум HD,,,
	Тест: Русский Иллюзион,,,
	Илюзион+,,,
	СТС Россия,,,
	TF1 HD,,,
	La Une HD,,,
	La Deux,,,
	La Trois,,,
	Club RTL,,,
	Plug RTL,,,
	RTL TVi HD,,,
	Animaux,,,
	NT1,,,
	France 24 FR,,,
	BFM HD,,,
	CCTV French,,,
	AB3,,,
	Toute L'histoire,,,
	RTL 9 HD,,,
	BFM Business HD,,,
	TV 5 Monde HD ,,,
	Интер (Укр),,,
	1+1 (Укр),,,
	2+2 (Укр),,,
	ICTV (Укр),,,
	СТБ (Укр),,,
	НТН (Укр),,,
	ТЕТ (Укр),,,
	Новый (Укр),,,
	112 HD (Укр),,,
	Телеканал новостей 24 (Укр),,,
	5 канал (Укр),,,
	Тонис HD (Укр),,,
	HD Fashion (Укр),,,
	Kanal 7 (tr),,,
	TRT 1,,,
	Salon 1 HD,,,
	Salon 2 HD,,,
	Salon 3 HD,,,
	Kanal D,,,
	Moviemax Premier 1 HD,,,
	Rumeli TV,,,
	Yaban TV,,,
	Flash TV,,,
	TRT,,,
	NTV Spor,,,
	TRT Spor,,,
	TRT Avaz,,,
	TRT Arapca,,,
	TRT Music,,,
	Euro D,,,
	TRT Haber,,,
	NTV TR,,,
	A Spor,,,
	A Spor HD,,,
	Star TV,,,
	Kanal 3,,,
	Euro Star,,,
	Kardelen,,,
	Abant TV,,,
	GTV Guneydogu TV,,,
	Kanal 26 TR,,,
	TV 8,,,
	Show TV,,,
	FOX TR,,,
	ATV Avrupa,,,
	Haber Turk,,,
	Planet Turk,,,
	Kanal 5,,,
	A Haber,,,
	ATV HD,,,
	Semerkand  HD,,,
	Star TV HD,,,
	Beyaz TV HD,,,
	CNN Turk,,,
	NTV Avrupa,,,
	Kanal t,,,
	NR1 Turk HD,,,
	Kral Pop,,,
	Kral TV,,,
	Dream Turk,,,
	Dream TV,,,
	Viva TR,,,
	Planet Mutfak,,,
	Planet Pembe,,,
	PPV Info,,,
	PPV 1 (demo),,,
	PPV 2 (demo),,,
	PPV 3 (demo),,,
	PPV 4 (demo),,,
	PPV 5 (demo),,,
	PPV 6 (demo),,,
	Film+,,,
FilmBox Extra HD,FilmBoXtraHD,Филми,http://logos.kodibg.org/filmboxextra.png
FilmBox Plus HD,FilmBoxPlusHD,Филми,http://logos.kodibg.org/filmboxplus.png
FilmBox Arthouse,FilmboxArthouseHD,Филми,http://logos.kodibg.org/filmboxarthouse.png
Action+ HD,ActionPlus,Филми,http://logos.kodibg.org/actionplus.png
	Cinema+,,,
	Comedy+,,,
	Sky 1,,,
	Sky 2,,,
	Sky 3D de,,,
	and TV HD,,,
	RTL Z HD (NL),,,
	NPO 1 (NL),,,
	NPO 2 (NL),,,
	NPO 3 (NL),,,
	RTL 4 NL,,,
	RTL 5 NL,,,
	RTL 7 HD (NL),,,
	Film1 Action NL,,,
	Film1 Comedy Kids NL,,,
	Film1 Premiere NL,,,
	SBS 6 (NL),,,
	Setanta,,,
	Motors TV HD,,,
	Motors UK,,,
	Premier Sports,,,
	Racing UK,,,
	Fuel TV HD,,,
	Box Nation,,,
	Sky Action,,,
	Sky Comedy,,,
	Sky SciFi/Horror,,,
	Sky Select,,,
	Sky Family,,,
	Sky Premiere +1,,,
	Sky Drama,,,
	Movies 4 Men,,,
	Comedy Central UK,,,
	Sony Movie Channel,,,
	БНТ1 LQ,,,
	bTV LQ,,,
	Nova LQ,,,
	bTV Comedy LQ,,,
	bTV Cinema LQ,,,
	bTV Action LQ,,,
	KinoNova LQ,,,
	Diema LQ,,,
	FOX Life LQ,,,
	FOX Crime LQ,,,
	FOX LQ,,,
	БНТ2 LQ,,,
	ТВ Европа LQ,,,
	NOVAsport LQ,,,
	RING LQ,,,
	Eurosport LQ,,,
	Eurosport 2 LQ,,,
	Sport+ LQ,,,
	F+ LQ,,,
	TV+ LQ,,,
	Discovery LQ,,,
	Animal Planet LQ,,,
	Diema Family LQ,,,
	BTV Lady LQ,,,
	24 Kitchen LQ,,,
	Diema Sport LQ,,,
	Diema Sport 2 LQ,,,
	Cartoon Net LQ,,,
	Disney LQ,,,
	NatGeo LQ,,,
	TLC LQ,,,
	Hobby LQ,,,
	Travel LQ,,,
	Hstory LQ,,,
	Diva LQ,,,
	City LQ,,,
	Planeta LQ,,,
	Planeta Folk LQ,,,
	DM SAT LQ,,,
	BG Music LQ,,,
	Balkanika LQ,,,
	Фолклор LQ,,,
	Arirang,,,
	LIG TV,,,
	LIG TV 2,,,
	LIG TV 3,,,
	Digi Sport 1,,,
	Digi Sport 2,,,
Sport Klub 1 HR,,,
Sport Klub 2 HR,,,
Sport Klub 3 HR,,,
	Sport Klub 1,,,
	Sport Klub 2,,,
	Sport Klub 3 HD,,,
	Sport Klub 4,,,
	Sport Klub 5,,,
	Sport Klub 6,,,
	Nova Sport 2 HD (CZ),,,
	Eurosport 360 HD 1,,,
	Eurosport 360 HD 2,,,
	beIN Sports 1 (ar),,,
	beIN Sports 2 (ar),,,
	beIN Sports 4 (ar),,,
	Arena Sport 1 HD (HR),,,
	Arena Sport 2 HD (HR),,,
	Arena Sport 3 HD (HR),,,
	Arena Sport 4 HD (HR),,,
	Arena Sport 5 HD (HR),,,
	Bein Sports HD (es),,,
	Canal+ Golf HD,,,
	Canal+ Deportes HD,,,
	Canal+ Toros HD,,,
	Movistar F1 HD,,,
	Movistar GP HD,,,
	Private,,,
	Sexto Senso,,,
	SCT Exotica,,,
	TGirls,,,
	SCT Satisfaction,,,
	Penthouse HD1,,,
	Hustler HD,,,
	Redlight HD,,,
	Dorcel HD,,,
	EroX,,,
	EroXX HD,,,
	Hustler TV,,,
	Brazzers TV,,,
	Dusk!,,,
	SuperOne,,,
	Dorcel TV,,,
	French Lover,,,
	Passion XXX,,,
	CentoCento,,,
	SCT Teleitalia,,,
	SCT Boy & Boy,,,
	XXL HD,,,
	Pink Plus,,,
	Pink 2,,,
	Pink 3,,,
	Pink M,,,
	Pink Reality,,,
	Pink Film,,,
	Pink Movies,,,
	Pink Premium,,,
	Pink Comedy,,,
	Pink Thriller,,,
	Pink Horror,,,
	Pink Rommance,,,
	Pink Crime,,,
	Pink Action,,,
	Pink World,,,
	Pink Western,,,
	Pink Sci-Fi,,,
	Pink Soap,,,
	Pink Pedia,,,
	Pink Kuvar,,,
	Pink Serie,,,
	Pink Extra,,,
	Pink Zabava,,,
	Pink Folk,,,
	Pink Folk 2,,,
	Pink Music,,,
	Pink Hits 2,,,
	Pink-N-Roll,,,
	Pink,,,
	Happy RS,,,
	Prva RS,,,
	РТС 1,,,
	РТС 2,,,
	РТС 3,,,
	B92,,,
	Grand,,,
	Grand 2,,,
	Hayat Folk,,,
	Hayat Music,,,
	Сител MK,,,
	MRTV 1,,,
	MRTV 2,,,
	MRTV 3,,,
	Телма MK,,,
	Алфа MK,,,
	Канал 5 MK,,,
	24 Вести MK,,,
	Nova TV MK,,,
	Premier Sports HD,,,
	Racing UK HD,,,
	BNT1 +1,,,
BTV +1,,,
Nova +1,,,
	BNT1 +2,,,
BTV +2,,,
Nova +2,,,
	BNT1 +7,,,
	BTV +7,,,
	Nova +7,,,
	BNT1 +24,,,
	BTV +24,,,
	Nova +24,,,
	BNT1 +48,,,
	BTV +48,,,
	Nova +48,,,
	BNT1 +1 LQ,,,
	BTV +1 LQ,,,
	Nova +1 LQ ,,,
	BNT1 +2 LQ,,,
	BTV +2 LQ,,,
	Nova +2 LQ,,,
	BNT1 +7 LQ,,,
	BTV +7 LQ,,,
	Nova +7 LQ,,,
	BNT1 +24 LQ,,,
	BTV +24 LQ,,,
	Nova +24 LQ,,,
	BNT1 +48 LQ,,,
	BTV +48 LQ,,,
	Nova +48 LQ,,,
